close_time,open_time,instrument,direction,units,entry_price,exit_price,realised_pl_gbp,financing_gbp,broker_trade_id,bot_tag
2026-08-31T01:22:52Z,2026-08-28T01:30:20Z,HK33_HKD,long,0.5,25392.3,25351.3,-1.95,-0.5434,7553,
2026-08-31T01:30:23Z,2026-08-31T01:30:10Z,HK33_HKD,long,0.3,25454.3,25397.3,-1.63,0.0000,7608,
2026-08-31T13:47:04Z,2026-08-31T13:30:08Z,XAG_USD,short,147,66.83010,66.37200,49.23,0.0000,7618,
2026-09-01T01:30:36Z,2026-09-01T01:30:10Z,HK33_HKD,long,0.4,25389.6,25344.6,-1.71,0.0000,7634,
2026-09-01T09:00:59Z,2026-08-26T19:30:10Z,NAS100_USD,long,0.12,29280.7,29185.1,-8.56,-2.6614,7119,
2026-09-01T13:45:57Z,2026-09-01T13:40:57Z,XAU_USD,long,0.1,4353.190,4360.130,0.51,0.0000,7660,trend_gold
2026-09-01T14:09:40Z,2026-09-01T13:05:09Z,NAS100_USD,short,0.58,29057.3,29120.2,-27.19,0.0000,7655,
2026-09-01T14:31:39Z,2026-09-01T13:00:02Z,NAS100_USD,short,0.33,29081.3,29163.9,-20.33,0.0000,7647,
2026-09-01T15:56:09Z,2026-09-01T15:51:09Z,XAU_USD,long,0.1,4370.390,4372.940,0.19,0.0000,7680,trend_gold
2026-09-01T16:00:36Z,2026-09-01T14:31:39Z,NAS100_USD,long,0.87,29165.2,29261.3,61.18,0.0000,7668,
2026-09-01T18:15:16Z,2026-09-01T14:40:15Z,NAS100_USD,long,0.01,29169.2,29061.5,-0.81,0.0000,7671,
2026-09-02T01:31:02Z,2026-09-02T01:30:10Z,HK33_HKD,long,0.4,25255.7,25202.7,-2.02,0.0000,7698,
2026-09-02T07:12:35Z,2026-09-01T16:16:11Z,XAU_USD,long,0.1,4363.250,4330.240,-2.47,-0.0461,7687,trend_gold
2026-09-02T07:32:37Z,2026-09-02T07:27:36Z,XAU_USD,long,0.1,4327.680,4329.480,0.13,0.0000,7710,trend_gold
2026-09-02T09:24:04Z,2026-08-31T14:30:18Z,DE30_EUR,short,0.35,26309.9,25788.8,154.81,-0.1340,7624,
2026-09-02T17:18:30Z,2026-09-02T07:42:37Z,XAU_USD,long,0.1,4324.820,4365.020,2.95,0.0000,7714,trend_gold
2026-09-02T18:40:21Z,2026-09-02T14:35:18Z,NAS100_USD,long,0.01,29171.0,29106.6,-0.48,0.0000,7744,
2026-09-02T20:19:47Z,2026-09-02T14:30:16Z,SPX500_USD,long,0.66,7672.0,7660.8,-5.54,0.0000,7735,
2026-09-03T05:19:09Z,2026-09-02T14:30:14Z,SPX500_USD,long,1.87,7671.5,7660.3,-15.68,-1.8171,7727,
2026-09-03T16:00:03Z,2026-09-02T14:00:22Z,US30_USD,long,0.37,53054.3,53724.5,181.41,-2.4904,7719,
