time,nav
2026-09-06T00:00:00Z,2000.00
2026-09-06T00:59:00Z,2000.00
2026-09-06T01:59:00Z,2000.00
2026-09-06T02:59:00Z,2000.00
2026-09-06T03:59:00Z,2000.00
2026-09-06T04:59:00Z,2000.00
2026-09-06T05:59:00Z,2000.00
2026-09-06T06:59:00Z,2000.00
2026-09-06T07:59:00Z,2000.00
2026-09-06T08:59:00Z,2000.00
2026-09-06T09:59:00Z,2000.00
2026-09-06T10:59:00Z,2000.00
2026-09-06T11:59:00Z,2000.00
2026-09-06T12:59:00Z,2000.00
2026-09-06T13:59:00Z,2000.00
2026-09-06T14:59:00Z,2000.00
2026-09-06T15:59:00Z,2000.00
2026-09-06T16:59:00Z,2000.00
2026-09-06T17:59:00Z,2000.00
2026-09-06T18:59:00Z,2000.00
2026-09-06T19:59:00Z,2000.00
2026-09-06T20:59:00Z,2000.00
2026-09-06T21:59:00Z,2000.00
2026-09-06T22:59:00Z,2000.29
2026-09-06T23:59:00Z,1999.83
2026-09-07T00:59:00Z,1997.78
2026-09-07T01:59:00Z,1998.48
2026-09-07T02:59:00Z,1980.65
2026-09-07T03:59:00Z,1978.67
2026-09-07T04:59:00Z,1979.25
2026-09-07T05:59:00Z,1980.84
2026-09-07T06:59:00Z,1979.07
2026-09-07T07:59:00Z,1977.02
2026-09-07T08:59:00Z,1977.40
2026-09-07T09:59:00Z,1977.85
2026-09-07T10:59:00Z,1978.91
2026-09-07T11:59:00Z,1978.66
2026-09-07T12:59:00Z,1978.99
2026-09-07T13:59:00Z,1980.03
2026-09-07T14:59:00Z,1954.90
2026-09-07T15:59:00Z,1954.66
2026-09-07T16:59:00Z,1951.98
2026-09-07T17:59:00Z,1952.57
2026-09-07T18:59:00Z,1952.43
2026-09-07T19:59:00Z,1952.43
2026-09-07T20:59:00Z,1952.43
2026-09-07T21:59:00Z,1952.60
2026-09-07T22:59:00Z,1952.71
2026-09-07T23:59:00Z,1953.77
2026-09-08T00:59:00Z,1952.81
2026-09-08T01:59:00Z,1932.01
2026-09-08T02:59:00Z,1932.48
2026-09-08T03:59:00Z,1933.86
2026-09-08T04:59:00Z,1934.66
2026-09-08T05:59:00Z,1935.27
2026-09-08T06:59:00Z,1935.66
2026-09-08T07:59:00Z,1936.43
2026-09-08T08:59:00Z,1936.99
2026-09-08T09:59:00Z,1934.46
2026-09-08T10:59:00Z,1935.06
2026-09-08T11:59:00Z,1935.58
2026-09-08T12:59:00Z,1933.44
2026-09-08T13:59:00Z,1933.70
2026-09-08T14:59:00Z,1927.45
2026-09-08T15:59:00Z,1925.01
2026-09-08T16:59:00Z,1923.24
2026-09-08T17:59:00Z,1921.66
2026-09-08T18:59:00Z,1934.15
2026-09-08T19:59:00Z,1934.54
2026-09-08T20:59:00Z,1939.54
2026-09-08T21:59:00Z,1939.57
2026-09-08T22:59:00Z,1938.77
2026-09-08T23:59:00Z,1941.22
2026-09-09T00:59:00Z,1691.09
2026-09-09T01:59:00Z,1690.85
2026-09-09T02:59:00Z,1691.57
2026-09-09T03:59:00Z,1690.30
2026-09-09T04:59:00Z,1689.19
2026-09-09T05:59:00Z,1688.38
2026-09-09T06:59:00Z,1692.88
2026-09-09T07:59:00Z,1696.92
2026-09-09T08:59:00Z,1697.93
2026-09-09T09:59:00Z,1705.31
2026-09-09T10:59:00Z,1687.78
2026-09-09T11:59:00Z,1679.53
2026-09-09T12:59:00Z,1666.42
2026-09-09T13:59:00Z,1656.26
2026-09-09T14:59:00Z,1643.62
2026-09-09T15:59:00Z,1759.45
2026-09-09T16:59:00Z,1721.38
2026-09-09T17:59:00Z,1719.68
2026-09-09T18:59:00Z,1755.72
2026-09-09T19:59:00Z,1768.06
2026-09-09T20:59:00Z,1764.49
2026-09-09T21:59:00Z,1766.10
2026-09-09T22:59:00Z,1768.35
2026-09-09T23:59:00Z,1772.62
2026-09-10T00:59:00Z,1759.69
2026-09-10T01:59:00Z,1760.25
2026-09-10T02:59:00Z,1742.91
2026-09-10T03:59:00Z,1754.93
2026-09-10T04:59:00Z,1746.83
2026-09-10T05:59:00Z,1743.22
2026-09-10T06:59:00Z,1744.24
2026-09-10T07:59:00Z,1748.24
2026-09-10T08:59:00Z,1758.86
2026-09-10T09:59:00Z,1759.99
2026-09-10T10:59:00Z,1753.76
2026-09-10T11:59:00Z,1765.54
2026-09-10T12:59:00Z,1857.17
2026-09-10T13:59:00Z,1840.22
2026-09-10T14:59:00Z,1758.51
2026-09-10T15:59:00Z,1792.20
2026-09-10T16:59:00Z,1772.28
2026-09-10T17:59:00Z,1801.47
2026-09-10T18:59:00Z,1806.37
2026-09-10T19:59:00Z,1825.84
2026-09-10T20:59:00Z,1836.83
2026-09-10T21:59:00Z,1838.59
2026-09-10T22:59:00Z,1847.12
2026-09-10T23:59:00Z,1864.77
2026-09-11T00:59:00Z,1822.74
2026-09-11T01:59:00Z,1836.61
2026-09-11T02:59:00Z,1848.35
2026-09-11T03:59:00Z,1853.96
2026-09-11T04:59:00Z,1817.82
